City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Puerto Ayacucho,VE,78.55,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
227,Kaitangata,NZ,65.07,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
228,Awbari,LY,72.61,clear sky,26.5921,12.7805,فندق أوباري
229,Ulladulla,AU,79.88,few clouds,-35.35,150.4667,Sandpiper Motel
230,Port Macquarie,AU,71.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
231,Balikpapan,ID,78.33,overcast clouds,-1.2675,116.8289,ibis Balikpapan
232,Kirkuk,IQ,71.92,clear sky,35.4681,44.3922,تل عبدالعزيز
233,Puerto Cabezas,NI,78.76,light intensity drizzle,14.0351,-83.3888,Cabaña Caribe
238,Lolodorf,CM,70.75,overcast clouds,3.2333,10.7333,Auberge La Decouverte
241,Rey Bouba,CM,75.11,scattered clouds,8.6724,14.1786,
244,San Quintin,MX,70.2,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
245,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
253,Shimoda,JP,68.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
254,Suchitlan,MX,70.59,thunderstorm,19.3667,-103.7167,Casa Copalli
255,Tura,IN,72.28,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
256,La Carolina,ES,67.71,few clouds,38.2756,-3.6153,NH La Perdiz
257,Grand-Santi,GF,73.4,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
260,Parry Sound,CA,62.51,clear sky,45.3501,-80.033,Bayside Inn
263,Chhabra,IN,77.79,few clouds,24.6667,76.8333,Nagar bhawan
264,Azuaga,ES,65.97,clear sky,38.2667,-5.6833,Casa Rural La Hoya
266,San Felipe,VE,73.94,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
267,Fortuna,US,66.47,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
268,Nauta,PE,72.09,light rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
269,Robertsport,LR,78.53,moderate rain,6.7533,-11.3686,Kwepunha Retreat
273,Dongkan,CN,71.46,light rain,33.9997,119.8308,Triumphal Resort
275,Awjilah,LY,67.26,clear sky,29.1081,21.2869,
277,Meadow Lake,US,77.45,clear sky,34.8014,-106.5436,TumbleWeed RV Park
280,Huntsville,US,70.3,heavy intensity rain,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
283,Pontianak,ID,78.78,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
284,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
285,Wodonga,AU,65.05,scattered clouds,-36.1167,146.8833,The Hume Inn Motel
286,Sawtell,AU,68.02,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
287,Arusha,TZ,62.37,few clouds,-3.3667,36.6833,Graceland Hotel
288,Lac Du Bonnet,CA,74.97,clear sky,50.2536,-96.0612,Casey's Inn Motor Hotel
289,San Nicolas,PH,76.91,light rain,18.1725,120.5953,NORTHVIEW Hotel
292,Prieska,ZA,65.05,clear sky,-29.6641,22.7474,Avenue GuestHouse
297,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
299,Richards Bay,ZA,65.3,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
301,Oinoi,GR,63.54,few clouds,38.3235,23.6101,Galatis Apartments
306,Kindu,CD,69.3,overcast clouds,-2.95,25.95,Résidence Okanda
308,Russell,US,78.08,broken clouds,32.3502,-85.1999,Macs
310,Sao Filipe,CV,79.59,broken clouds,14.8961,-24.4956,Hotel Xaguate
312,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
313,Namasuba,UG,60.39,scattered clouds,0.6894,32.4214,Mwanje's Rentals
316,Labuhan,ID,78.73,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
317,Rodrigues Alves,BR,72.73,overcast clouds,-7.738,-72.6509,Pousada Aconchego
320,Phan Thiet,VN,76.14,overcast clouds,10.9333,108.1,Hotel Saigon-PT
321,Portland,US,60.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
324,Linqiong,CN,66.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
325,Dutlwe,BW,73.65,overcast clouds,-23.9833,23.9,
327,Marzuq,YE,78.57,broken clouds,14.4,46.4667,
331,Wukari,NG,74.73,light rain,7.85,9.7833,Elimtop
333,Banjar,ID,76.91,broken clouds,-8.19,114.9675,The Hamsa Resort
339,Morehead,US,74.91,clear sky,37.2711,-87.1764,CCI Express Inn
340,Abha,SA,64.22,clear sky,18.2164,42.5053,Abha Hotel
342,Susanville,US,69.64,scattered clouds,40.4163,-120.653,Comfort Inn & Suites
343,Manacor,ES,61.34,broken clouds,39.5696,3.2096,Hotel Can Guixa
344,Shenjiamen,CN,77.76,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
346,Meulaboh,ID,76.46,overcast clouds,4.1363,96.1285,Kost Pria
349,Concordia,AR,62.78,few clouds,-31.393,-58.0209,Palmar Hotel Casino
351,Gushikawa,JP,79.83,thunderstorm,26.3544,127.8686,Kirari Guest House
352,Iranshahr,IR,78.82,clear sky,27.2025,60.6848,نیک سرشت
353,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
361,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
363,San Jose Pinula,GT,72.12,scattered clouds,14.5461,-90.4114,Finca Santiago
367,Canora,CA,75.22,overcast clouds,51.6333,-102.4343,Canora Hotel
373,Bonfim,BR,79.77,overcast clouds,3.0833,-59.95,
374,Acarau,BR,79.59,overcast clouds,-2.8856,-40.12,castelo pizzaria
375,Yomou,GN,69.96,light rain,7.5603,-9.2653,
376,Somanda,TZ,73.24,overcast clouds,-3.3667,33.95,
378,Islamnagar,IN,76.77,clear sky,28.3333,78.7167,AFGAN MASJID
