City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,San Quintin,MX,30.4833,-115.95,70.2,75,72,12.84,broken clouds
245,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,6.91,scattered clouds
246,Mount Gambier,AU,-37.8333,140.7667,53.51,58,37,16.11,scattered clouds
247,Baykit,RU,61.67,96.37,34.7,93,100,8.77,overcast clouds
248,Vila,PT,42.0304,-8.1588,58.33,89,4,3.83,clear sky
249,Alyangula,AU,-13.8483,136.4192,84.07,74,40,5.75,scattered clouds
250,Sola,VU,-13.8833,167.55,80.85,75,54,11.95,broken clouds
251,Maningrida,AU,-12.0667,134.2667,88.2,50,44,6.26,scattered clouds
252,Novoagansk,RU,61.9449,76.6625,39.4,89,100,11.1,overcast clouds
253,Shimoda,JP,34.6667,138.95,68.36,82,96,7.27,overcast clouds
254,Suchitlan,MX,19.3667,-103.7167,70.59,88,90,11.5,thunderstorm
255,Tura,IN,25.5198,90.2201,72.28,88,13,2.21,few clouds
256,La Carolina,ES,38.2756,-3.6153,67.71,53,23,5.46,few clouds
257,Grand-Santi,GF,4.25,-54.3833,73.4,99,89,3.24,overcast clouds
258,Rocha,UY,-34.4833,-54.3333,49.71,60,60,15.28,broken clouds
259,Xining,CN,36.6167,101.7667,47.73,84,49,1.81,scattered clouds
260,Parry Sound,CA,45.3501,-80.033,62.51,77,3,1.12,clear sky
261,Hengshui,CN,37.7322,115.7011,49.73,88,20,5.19,few clouds
262,Nhulunbuy,AU,-12.2333,136.7667,86.61,54,20,11.5,few clouds
263,Chhabra,IN,24.6667,76.8333,77.79,74,15,1.92,few clouds
264,Azuaga,ES,38.2667,-5.6833,65.97,61,3,4.63,clear sky
265,Adrar,MR,20.5022,-10.0711,89.71,21,89,4.03,overcast clouds
266,San Felipe,VE,10.3399,-68.7425,73.94,99,99,2.64,overcast clouds
267,Fortuna,US,40.5982,-124.1573,66.47,63,20,3.0,few clouds
268,Nauta,PE,-4.5061,-73.5757,72.09,98,100,0.4,light rain
269,Robertsport,LR,6.7533,-11.3686,78.53,86,84,9.6,moderate rain
270,Esso,RU,55.9333,158.7,30.97,64,32,5.55,scattered clouds
271,Dingle,PH,10.9995,122.6711,80.58,83,83,0.85,broken clouds
272,College,US,64.8569,-147.8028,43.59,65,75,4.61,moderate rain
273,Dongkan,CN,33.9997,119.8308,71.46,89,83,9.78,light rain
274,San Miguel,SV,13.4833,-88.1833,87.46,66,40,3.44,scattered clouds
275,Awjilah,LY,29.1081,21.2869,67.26,63,0,7.7,clear sky
276,Williston,US,48.147,-103.618,90.01,15,100,18.92,overcast clouds
277,Meadow Lake,US,34.8014,-106.5436,77.45,42,5,8.75,clear sky
278,Usinsk,RU,65.9939,57.5281,44.28,84,100,14.54,overcast clouds
279,Tari,NG,12.4086,4.4914,81.75,63,100,8.46,overcast clouds
280,Huntsville,US,34.7304,-86.5861,70.3,96,90,1.01,heavy intensity rain
281,Liaozhong,CN,41.5061,122.7242,57.52,72,54,11.25,broken clouds
282,Boa Vista,BR,2.8197,-60.6733,89.58,51,40,5.75,scattered clouds
283,Pontianak,ID,-0.0333,109.3333,78.78,94,20,0.0,mist
284,Saint George,US,37.1041,-113.5841,79.43,34,1,1.01,clear sky
285,Wodonga,AU,-36.1167,146.8833,65.05,71,47,8.01,scattered clouds
286,Sawtell,AU,-30.3833,153.1,68.02,52,89,8.05,overcast clouds
287,Arusha,TZ,-3.3667,36.6833,62.37,77,20,11.5,few clouds
288,Lac Du Bonnet,CA,50.2536,-96.0612,74.97,36,5,10.4,clear sky
289,San Nicolas,PH,18.1725,120.5953,76.91,94,90,2.3,light rain
290,Fernandopolis,BR,-20.2839,-50.2464,82.49,47,17,8.46,few clouds
291,La Oroya,PE,-11.5189,-75.8994,46.38,87,94,4.32,light rain
292,Prieska,ZA,-29.6641,22.7474,65.05,24,2,6.87,clear sky
293,Balta,UA,47.9355,29.6198,40.53,42,0,8.84,clear sky
