City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Barrow,US,2021-10-02 12:34:39,71.2906,-156.7887,30.22,69,90,23.02
125,Cherskiy,RU,2021-10-02 12:35:19,68.75,161.3,22.68,95,98,8.16
126,Brasileia,BR,2021-10-02 12:40:22,-11.0161,-68.7481,81.05,78,20,5.75
127,Angol,CL,2021-10-02 12:40:22,-37.8,-72.7167,43.32,75,25,3.76
128,Natal,BR,2021-10-02 12:35:51,-5.795,-35.2094,84.42,74,75,18.41
129,Chumikan,RU,2021-10-02 12:40:22,54.7183,135.315,40.48,64,21,15.7
130,San Juan,AR,2021-10-02 12:36:14,-31.5375,-68.5364,79.29,9,0,15.23
131,Gualan,GT,2021-10-02 12:40:23,15.1333,-89.3667,75.58,95,62,0.65
132,Kaitangata,NZ,2021-10-02 12:36:03,-46.2817,169.8464,53.92,63,100,7.18
133,Kovdor,RU,2021-10-02 12:40:23,67.5662,30.4758,45.3,84,100,11.36
134,Klaksvik,FO,2021-10-02 12:35:56,62.2266,-6.589,49.12,85,100,26.96
135,Hay River,CA,2021-10-02 12:36:51,60.8156,-115.7999,46.38,61,75,10.36
136,Nikolskoye,RU,2021-10-02 12:35:05,59.7035,30.7861,58.89,56,78,6.69
137,San Luis,AR,2021-10-02 12:35:55,-33.295,-66.3356,70.05,25,0,5.41
138,East London,ZA,2021-10-02 12:34:47,-33.0153,27.9116,59.94,88,75,17.27
139,Upernavik,GL,2021-10-02 12:34:52,72.7868,-56.1549,30.38,89,26,3.74
140,Coahuayana,MX,2021-10-02 12:35:26,18.7333,-103.6833,80.08,89,31,3.62
141,Narsaq,GL,2021-10-02 12:35:47,60.9167,-46.05,30.42,39,1,4.74
142,Qaanaaq,GL,2021-10-02 12:34:59,77.484,-69.3632,23.63,86,99,10.89
143,Dunedin,NZ,2021-10-02 12:36:40,-45.8742,170.5036,50.23,82,100,5.95
144,Juneau,US,2021-10-02 12:40:24,58.3019,-134.4197,48.22,88,90,11.99
145,Comodoro Rivadavia,AR,2021-10-02 12:36:14,-45.8667,-67.5,42.66,61,20,19.57
146,Clyde River,CA,2021-10-02 12:35:18,70.4692,-68.5914,37.24,86,100,9.69
147,Port Said,EG,2021-10-02 12:40:25,31.2565,32.2841,82.38,54,20,6.91
148,Zhigansk,RU,2021-10-02 12:40:25,66.7697,123.3711,28.96,78,9,11.12
149,Gusoeni,RO,2021-10-02 12:40:25,44.7333,24.1167,66.33,30,0,7.43
150,Saint-Philippe,RE,2021-10-02 12:34:49,-21.3585,55.7679,78.35,75,48,14.03
151,New Norfolk,AU,2021-10-02 12:35:20,-42.7826,147.0587,53.92,75,100,1.99
152,Torbay,CA,2021-10-02 12:30:28,47.6666,-52.7314,58.57,98,75,17.27
153,Golden,US,2021-10-02 12:39:23,39.7555,-105.2211,53.67,77,1,3.0
154,Hun,LY,2021-10-02 12:40:26,29.1268,15.9477,85.26,31,0,2.98
155,Onega,RU,2021-10-02 12:40:26,63.9061,38.1404,47.91,80,100,5.97
156,Iralaya,HN,2021-10-02 12:40:26,15.0,-83.2333,77.09,80,32,8.01
157,Provideniya,RU,2021-10-02 12:35:32,64.3833,-173.3,21.29,79,5,6.55
158,Claveria,PH,2021-10-02 12:40:27,18.6074,121.0832,80.87,86,88,12.01
159,Bontang,ID,2021-10-02 12:36:22,0.1333,117.5,79.03,84,80,3.98
160,The Valley,AI,2021-10-02 12:36:57,18.217,-63.0578,84.34,79,20,17.27
161,Sola,VU,2021-10-02 12:40:27,-13.8833,167.55,77.67,94,90,5.75
162,George Town,MY,2021-10-02 12:40:27,5.4112,100.3354,84.15,80,20,0.0
163,Buraydah,SA,2021-10-02 12:37:16,26.326,43.975,100.85,7,6,3.98
164,Cabo San Lucas,MX,2021-10-02 12:33:21,22.8909,-109.9124,77.14,88,75,6.91
165,Nelson Bay,AU,2021-10-02 12:40:28,-32.7167,152.15,63.09,76,6,15.03
166,Camacha,PT,2021-10-02 12:40:28,33.0833,-16.3333,72.82,60,40,12.66
167,Pemangkat,ID,2021-10-02 12:40:28,1.1667,108.9667,80.13,75,100,5.88
168,Faya,SA,2021-10-02 12:35:43,18.3851,42.4509,77.52,36,90,8.32
169,Saldanha,ZA,2021-10-02 12:35:39,-33.0117,17.9442,62.65,57,10,23.29
170,Kosterevo,RU,2021-10-02 12:40:29,55.9299,39.6144,52.48,53,16,1.59
171,Esperance,AU,2021-10-02 12:35:06,-33.8667,121.9,57.04,75,60,11.59
172,Deputatskiy,RU,2021-10-02 12:35:35,69.3,139.9,12.76,87,71,6.15
173,Mehran,IR,2021-10-02 12:37:17,33.1222,46.1646,103.48,7,1,14.29
174,Walvis Bay,NA,2021-10-02 12:40:29,-22.9575,14.5053,67.15,55,1,10.36
175,Burnie,AU,2021-10-02 12:40:30,-41.0667,145.9167,55.92,95,40,4.74
176,Atambua,ID,2021-10-02 12:40:30,-9.1061,124.8925,75.69,81,100,2.15
177,Evensk,RU,2021-10-02 12:37:02,61.95,159.2333,36.23,91,81,2.59
178,Aykhal,RU,2021-10-02 12:40:30,66.0,111.5,28.53,50,76,2.37
179,Port Moresby,PG,2021-10-02 12:40:31,-9.4431,147.1797,78.22,94,40,5.75
180,Peruibe,BR,2021-10-02 12:40:31,-24.32,-46.9983,77.77,60,100,2.93
181,Providencia,MX,2021-10-02 12:40:31,28.7167,-111.5833,78.44,55,0,4.63
